ContentKey,FishKey,Prey_OS_ID,Scientific Name,CommonName,Aphia_ID,Prey_Detail_Code,PreyWt,Prey_Count,OS_ID,Length,Year,Trawl_ID,Study Area,Start Depth,End Depth,Start Lat Degree,Start Lat Minutes,Start Long Degree,Start Long Minutes
62114087_892_3_1_-1139_402,62114087_892_3_1_-1139,7967,MYSIS SP,MYSID,119886,,0.122,1,892,15.2,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_892_3_1_-1140_400,62114087_892_3_1_-1140,9998,EMPTY,EMPTY,,,,,892,13.8,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_892_3_1_-1141_401,62114087_892_3_1_-1141,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,,0.038,1,892,12.2,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_403,62114087_90_3_1_-1137,8085,SPIRONTOCARIS SPINUS,SHRIMP,107533,,2.623,1,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_404,62114087_90_3_1_-1137,8085,SPIRONTOCARIS SPINUS,SHRIMP,107533,,6.59,2,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_405,62114087_90_3_1_-1137,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,12.265,,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_406,62114087_90_3_1_-1137,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,3.084,,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_407,62114087_90_3_1_-1137,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_408,62114087_90_3_1_-1137,10560,MYSIDA,MYSID,149668,81,0.442,,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114087_90_3_1_-1137_409,62114087_90_3_1_-1137,6000,CRUSTACEA,CRUSTACEAN,1066,81,11.02,,90,45.5,2019,62114087,RISA,225,225,60,32.3094,65,57.3264
62114089_89_3_1_-1169_1789,62114089_89_3_1_-1169,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,9.855,,89,28,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_89_3_1_-1170_1792,62114089_89_3_1_-1170,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,7.128,,89,36.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_89_3_1_-1171_1791,62114089_89_3_1_-1171,9998,EMPTY,EMPTY,,,,,89,45.2,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_89_3_1_-1172_1790,62114089_89_3_1_-1172,9998,EMPTY,EMPTY,,,,,89,53.7,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1173_1787,62114089_892_3_1_-1173,9998,EMPTY,EMPTY,,,,,892,12.8,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1175_1788,62114089_892_3_1_-1175,9998,EMPTY,EMPTY,,,,,892,13.6,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1179_1520,62114089_892_3_1_-1179,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,0.184,,892,75,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1179_1521,62114089_892_3_1_-1179,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,0.182,,892,75,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1179_1522,62114089_892_3_1_-1179,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,892,75,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1179_1523,62114089_892_3_1_-1179,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,892,75,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1180_1503,62114089_892_3_1_-1180,9998,EMPTY,EMPTY,,,,,892,75.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1181_1508,62114089_892_3_1_-1181,272,MYCTOPHIDAE,LANTERNFISHES,125498,88,5.983,1,892,69.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1181_1509,62114089_892_3_1_-1181,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,11.124,,892,69.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1181_1510,62114089_892_3_1_-1181,451,BOREOGADUS SAIDA,ARCTIC COD,126433,88,0,,892,69.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
