"Prey_OS_ID","Prey_Detail_Code","CommonName_DB","pred.name","PreyWt","Prey_Count","length.range","prey.name","other.prey"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"61-65","other","other"
8112,NA,"SHRIMP","Greenland halibut",6.959,2,"66-70","montagui","Shrimp"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.937,NA,"61-65","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"61-65","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",4.668,NA,"61-65","other","other"
8110,81,"SHRIMP","Greenland halibut",4.597,NA,"61-65","Pandalus","Shrimp"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",2.712,NA,"61-65","other","other"
8112,81,"SHRIMP","Greenland halibut",0.301,NA,"61-65","montagui","Shrimp"
436,88,"GADOIDS","Greenland halibut",0,NA,"61-65","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"61-65","other","other"
8112,NA,"SHRIMP","Greenland halibut",28.428,1,"56-60","montagui","Shrimp"
8112,NA,"SHRIMP","Greenland halibut",19.87,1,"56-60","montagui","Shrimp"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"56-60","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.088,NA,"51-55","other","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"51-55","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"51-55","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.418,NA,"51-55","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.026,NA,"51-55","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"46-50","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"46-50","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"46-50","other","other"
4769,NA,"SQUID","Greenland halibut",17.137,1,"41-45","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",5.606,NA,"41-45","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.345,NA,"41-45","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",3.557,NA,"41-45","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",4.495,NA,"36-40","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.607,NA,"36-40","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.183,NA,"31-35","other","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"31-35","other","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"31-35","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.029,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.09,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.156,NA,"21-25","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
6930,81,"AMPHIPOD","Greenland halibut",0.215,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.689,NA,"16-20","Unidentified material","other"
6930,NA,"AMPHIPOD","Greenland halibut",0.847,1,"16-20","other","other"
6000,81,"CRUSTACEAN","Redfish",0.008,NA,"11-15","other","other"
7933,NA,"MYSID","Redfish",0.64,2,"21-25","other","other"
7935,NA,"MYSID","Redfish",2.645,4,"21-25","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"11-15","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.277,NA,"11-15","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"11-15","other","other"
4950,81,"POLYCHAETE","Greenland halibut",0.039,NA,"16-20","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
7933,NA,"MYSID","Greenland halibut",0.25,1,"21-25","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",7.486,NA,"21-25","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"21-25","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.818,NA,"26-30","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.067,NA,"26-30","other","other"
853,88,"SEASNAILS","Greenland halibut",3.317,1,"26-30","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"26-30","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.998,NA,"26-30","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.833,NA,"31-35","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.381,NA,"31-35","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"31-35","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"31-35","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.005,NA,"36-40","other","other"
999,90,"UNIDENTIFIED FISH","Greenland halibut",0.102,NA,"36-40","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"36-40","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",3.609,NA,"36-40","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.503,NA,"36-40","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
7935,NA,"MYSID","Greenland halibut",0.733,1,"41-45","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.01,NA,"46-50","other","other"
7935,NA,"MYSID","Greenland halibut",0.399,1,"46-50","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",3.849,NA,"46-50","other","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"46-50","other","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"46-50","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",8.059,NA,"46-50","Unidentified material","other"
7935,NA,"MYSID","Greenland halibut",0.765,1,"46-50","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",1.121,NA,"46-50","other","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.136,NA,"46-50","other","other"
6930,81,"AMPHIPOD","Greenland halibut",17.463,NA,"46-50","other","other"
7933,81,"MYSID","Greenland halibut",0.19,NA,"46-50","other","other"
7935,NA,"MYSID","Greenland halibut",1.02,1,"46-50","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",10.641,NA,"51-55","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"51-55","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"51-55","other","other"
6080,81,"COPEPOD","Greenland halibut",0.099,NA,"51-55","other","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",8.03,1,"51-55","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"56-60","other","other"
8112,NA,"SHRIMP","Greenland halibut",7.054,1,"56-60","montagui","Shrimp"
892,88,"GREENLAND HALIBUT, TURBOT","Greenland halibut",11.135,1,"56-60","other","other"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",1.699,1,"56-60","other","other"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",4.661,1,"56-60","other","other"
8112,NA,"SHRIMP","Greenland halibut",3.248,1,"56-60","montagui","Shrimp"
7935,NA,"MYSID","Greenland halibut",0.544,1,"56-60","other","other"
8112,NA,"SHRIMP","Greenland halibut",9.261,2,"61-65","montagui","Shrimp"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",15.738,1,"51-55","other","other"
8112,NA,"SHRIMP","Greenland halibut",10.382,2,"51-55","montagui","Shrimp"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"21-25","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
8196,NA,"SPINY CRAB","Skate",59.555,2,"46-50","other","other"
6996,NA,"GAMMARID AMPHIPOD","Skate",0.319,1,"46-50","other","other"
999,81,"UNIDENTIFIED FISH","Skate",3.381,NA,"46-50","other","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"46-50","other","other"
9998,NA,"EMPTY","Skate",NA,NA,"46-50","other","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.075,2,"11-15","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.195,NA,"11-15","other","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.133,7,"11-15","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.164,NA,"11-15","other","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.057,NA,"11-15","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"16-20","other","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.072,1,"21-25","other","other"
8111,NA,"SHRIMP","Greenland halibut",5.839,1,"36-40","borealis","Shrimp"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.242,NA,"31-35","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.278,NA,"31-35","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
290,88,"GLACIER LANTERNFISH","Greenland halibut",4.21,1,"36-40","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",8.666,NA,"41-45","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
6000,81,"CRUSTACEAN","Skate",1.26,NA,"36-40","other","other"
8111,NA,"SHRIMP","Atlantic cod",21.621,2,"46-50","borealis","Shrimp"
8110,NA,"SHRIMP","Atlantic cod",12.619,4,"46-50","Pandalus","Shrimp"
9998,NA,"EMPTY","Redfish",NA,NA,"21-25","other","other"
6967,81,"HYPERID AMPHIPOD","Redfish",0.03,NA,"21-25","other","other"
7933,81,"MYSID","Redfish",0.589,NA,"21-25","other","other"
6000,81,"CRUSTACEAN","Redfish",0.495,NA,"21-25","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"21-25","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"16-20","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"46-50","other","other"
8111,NA,"SHRIMP","Greenland halibut",16.007,2,"41-45","borealis","Shrimp"
8111,NA,"SHRIMP","Greenland halibut",6.31,1,"41-45","borealis","Shrimp"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
8111,NA,"SHRIMP","Greenland halibut",7.164,1,"36-40","borealis","Shrimp"
8111,NA,"SHRIMP","Greenland halibut",10.701,2,"36-40","borealis","Shrimp"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.259,NA,"31-35","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
10011,NA,"SQUID","Greenland halibut",3.118,1,"26-30","other","other"
8019,81,"DECAPOD","Skate",14.18,NA,"36-40","other","other"
10310,NA,"SQUAT LOBSTER","Skate",4.144,1,"36-40","other","other"
9998,NA,"EMPTY","Skate",NA,NA,"36-40","other","other"
8111,81,"SHRIMP","Skate",10.912,NA,"41-45","borealis","Shrimp"
9998,NA,"EMPTY","Skate",NA,NA,"41-45","other","other"
6000,81,"CRUSTACEAN","Redfish",0.002,NA,"21-25","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"21-25","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.213,NA,"26-30","Unidentified material","other"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
6000,81,"CRUSTACEAN","Redfish",0.469,NA,"31-35","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",1.462,NA,"31-35","Unidentified material","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.348,NA,"31-35","Unidentified material","other"
4545,86,"CEPHALOPOD","Redfish",0.006,NA,"31-35","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",1.013,NA,"31-35","Unidentified material","other"
999,88,"UNIDENTIFIED FISH","Redfish",0,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"41-45","other","other"
8111,NA,"SHRIMP","Greenland halibut",17.122,1,"41-45","borealis","Shrimp"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.603,1,"36-40","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"36-40","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Skate",NA,NA,"41-45","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.275,NA,"16-20","Unidentified material","other"
9998,NA,"EMPTY","Redfish",NA,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",1.715,NA,"31-35","Unidentified material","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.16,NA,"21-25","Unidentified material","other"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"21-25","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"26-30","other","other"
9998,NA,"EMPTY","Redfish",NA,NA,"31-35","other","other"
6967,81,"HYPERID AMPHIPOD","Redfish",0.05,NA,"31-35","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"81-85","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"61-65","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"56-60","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"56-60","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"51-55","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"46-50","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"46-50","other","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"26-30","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",1.216,NA,"26-30","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"26-30","other","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"26-30","other","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",4.793,NA,"26-30","other","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"26-30","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.703,NA,"11-15","Unidentified material","other"
8140,81,"MALACOSTRACAN","Skate",3.097,NA,"36-40","other","other"
8112,5,"SHRIMP","Skate",1.187,1,"36-40","montagui","Shrimp"
6000,81,"CRUSTACEAN","Skate",0.549,NA,"36-40","other","other"
4950,81,"POLYCHAETE","Skate",1.281,NA,"36-40","other","other"
8111,81,"SHRIMP","Skate",7.687,NA,"46-50","borealis","Shrimp"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"11-15","other","other"
451,88,"ARCTIC COD","Skate",48.856,1,"36-40","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",4.441,8,"36-40","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.595,4,"36-40","other","other"
6996,81,"GAMMARID AMPHIPOD","Skate",2.282,NA,"36-40","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",6.551,NA,"36-40","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",13.175,NA,"36-40","Unidentified material","other"
5459,NA,"POLYCHAETE","Skate",3.401,1,"36-40","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.774,4,"36-40","other","other"
6999,81,"GAMMARID AMPHIPOD","Skate",0.94,NA,"36-40","other","other"
4949,81,"ANNELID","Skate",2.441,NA,"36-40","other","other"
4545,81,"CEPHALOPOD","Skate",0.874,NA,"36-40","other","other"
8081,NA,"SHRIMP","Skate",0.963,1,"36-40","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",3.279,NA,"36-40","Unidentified material","other"
8203,81,"CRAB","Skate",4.175,NA,"36-40","other","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",3.261,NA,"36-40","other","other"
6999,81,"GAMMARID AMPHIPOD","Skate",0.556,NA,"36-40","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",6.501,NA,"36-40","Unidentified material","other"
9998,NA,"EMPTY","Skate",NA,NA,"36-40","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.423,1,"16-20","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",2.012,5,"16-20","other","other"
6996,81,"GAMMARID AMPHIPOD","Skate",1.377,NA,"16-20","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",1.211,NA,"16-20","Unidentified material","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.315,3,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.963,2,"21-25","other","other"
6930,81,"AMPHIPOD","Skate",0.495,NA,"21-25","other","other"
4949,81,"ANNELID","Skate",1.022,NA,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.032,6,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.592,2,"21-25","other","other"
6996,81,"GAMMARID AMPHIPOD","Skate",0.736,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.794,NA,"21-25","Unidentified material","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",2.98,8,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.387,1,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.352,1,"21-25","other","other"
6999,81,"GAMMARID AMPHIPOD","Skate",1.207,NA,"21-25","other","other"
4949,81,"ANNELID","Skate",0.112,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",1.825,NA,"21-25","Unidentified material","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.968,4,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.903,4,"21-25","other","other"
6930,81,"AMPHIPOD","Skate",1.176,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",1.496,NA,"21-25","Unidentified material","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.085,3,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.508,4,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.653,2,"21-25","other","other"
6996,81,"GAMMARID AMPHIPOD","Skate",0.237,NA,"21-25","other","other"
4949,81,"ANNELID","Skate",0.277,NA,"21-25","other","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",2.463,NA,"21-25","Unidentified material","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Skate",3.76,1,"21-25","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.273,4,"16-20","other","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.799,6,"16-20","other","other"
