"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range","sampled.stomach"
"62114014_892_3_1_-66_385","62114014_892_3_1_-66",9998,"Empty","EMPTY",NA,NA,NA,892,22.5,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","21-25",1
"62114014_892_3_1_-67_386","62114014_892_3_1_-67",9998,"Empty","EMPTY",NA,NA,NA,892,27.9,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","26-30",1
"62114014_892_3_1_-68_392","62114014_892_3_1_-68",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,3.25,1,892,30.3,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Pisces",NA,"SFA4","Greenland halibut","100-200 m","26-30",1
"62114014_892_3_1_-69_389","62114014_892_3_1_-69",8138,"Argis dentata","SHRIMP",NA,6.553,1,892,33.2,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","31-35",1
"62114014_892_3_1_-70_384","62114014_892_3_1_-70",9998,"Empty","EMPTY",NA,NA,NA,892,24,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","21-25",1
"62114014_892_3_1_-71_387","62114014_892_3_1_-71",6930,"Amphipoda","AMPHIPOD",81,0.285,NA,892,12.7,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Amphipoda","SFA4","Greenland halibut","100-200 m","11-15",1
"62114087_892_3_1_-1136_411","62114087_892_3_1_-1136",451,"Boreogadus saida","ARCTIC COD",88,13.925,1,892,36.2,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Chordata","Gadiformes","EAZ","Greenland halibut","200-300 m","36-40",1
"62114087_892_3_1_-1139_402","62114087_892_3_1_-1139",7967,"Mysis","MYSID",NA,0.122,1,892,15.2,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Mysida","EAZ","Greenland halibut","200-300 m","11-15",1
"62114087_892_3_1_-1140_400","62114087_892_3_1_-1140",9998,"Empty","EMPTY",NA,NA,NA,892,13.8,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,NA,NA,"EAZ","Greenland halibut","200-300 m","11-15",1
"62114087_892_3_1_-1141_401","62114087_892_3_1_-1141",6967,"Themisto","HYPERID AMPHIPOD",NA,0.038,1,892,12.2,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Amphipoda","EAZ","Greenland halibut","200-300 m","11-15",1
"62114087_90_3_1_-1137_403","62114087_90_3_1_-1137",8085,"Spirontocaris spinus","SHRIMP",NA,2.623,1,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Decapoda","EAZ","Skate","200-300 m","41-45",1
"62114089_89_3_1_-1169_1789","62114089_89_3_1_-1169",8020,"","SHRIMP/SHRIMP SAMPLE",81,9.855,NA,89,28,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Skate","500-750 m","26-30",1
"62114089_89_3_1_-1170_1792","62114089_89_3_1_-1170",8020,"","SHRIMP/SHRIMP SAMPLE",81,7.128,NA,89,36.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Skate","500-750 m","36-40",1
"62114089_89_3_1_-1171_1791","62114089_89_3_1_-1171",9998,"Empty","EMPTY",NA,NA,NA,89,45.2,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Skate","500-750 m","41-45",1
"62114089_89_3_1_-1172_1790","62114089_89_3_1_-1172",9998,"Empty","EMPTY",NA,NA,NA,89,53.7,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Skate","500-750 m","51-55",1
"62114089_892_3_1_-1173_1787","62114089_892_3_1_-1173",9998,"Empty","EMPTY",NA,NA,NA,892,12.8,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","11-15",1
"62114089_892_3_1_-1175_1788","62114089_892_3_1_-1175",9998,"Empty","EMPTY",NA,NA,NA,892,13.6,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","11-15",1
"62114089_892_3_1_-1179_1520","62114089_892_3_1_-1179",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,0.184,NA,892,75,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","71-75",1
"62114089_892_3_1_-1180_1503","62114089_892_3_1_-1180",9998,"Empty","EMPTY",NA,NA,NA,892,75.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","71-75",1
"62114089_892_3_1_-1181_1508","62114089_892_3_1_-1181",272,"Myctophidae","LANTERNFISHES",88,5.983,1,892,69.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Chordata","Myctophiformes","EAZ","Greenland halibut","500-750 m","66-70",1
"62114089_892_3_1_-1182_1505","62114089_892_3_1_-1182",10016,"Eusirus holmii","GAMMARID AMPHIPOD",NA,1.276,1,892,70.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Amphipoda","EAZ","Greenland halibut","500-750 m","66-70",1
"62114089_892_3_1_-1183_1519","62114089_892_3_1_-1183",9998,"Empty","EMPTY",NA,NA,NA,892,77.8,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","76-80",1
"62114089_892_3_1_-1184_1502","62114089_892_3_1_-1184",9998,"Empty","EMPTY",NA,NA,NA,892,67.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","66-70",1
"62114089_892_3_1_-1185_1500","62114089_892_3_1_-1185",9998,"Empty","EMPTY",NA,NA,NA,892,65.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","61-65",1
"62114089_892_3_1_-1186_1504","62114089_892_3_1_-1186",8112,"Pandalus montagui","SHRIMP",NA,6.959,2,892,68,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","66-70",1
"62114089_892_3_1_-1187_1518","62114089_892_3_1_-1187",8020,"","SHRIMP/SHRIMP SAMPLE",81,0.937,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","61-65",1
"62114089_892_3_1_-1188_1499","62114089_892_3_1_-1188",9998,"Empty","EMPTY",NA,NA,NA,892,61.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","61-65",1
"62114089_892_3_1_-1189_1513","62114089_892_3_1_-1189",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,4.668,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","61-65",1
"62114089_892_3_1_-1190_1501","62114089_892_3_1_-1190",9998,"Empty","EMPTY",NA,NA,NA,892,62.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","61-65",1
"62114089_892_3_1_-1191_1495","62114089_892_3_1_-1191",8112,"Pandalus montagui","SHRIMP",NA,28.428,1,892,58.2,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","56-60",1
"62114089_892_3_1_-1192_1930","62114089_892_3_1_-1192",8112,"Pandalus montagui","SHRIMP",NA,19.87,1,892,57.6,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","56-60",1
"62114089_892_3_1_-1193_1498","62114089_892_3_1_-1193",9998,"Empty","EMPTY",NA,NA,NA,892,56.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","56-60",1
"62114089_892_3_1_-1194_1493","62114089_892_3_1_-1194",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,2.088,NA,892,53.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","51-55",1
"62114089_892_3_1_-1195_1492","62114089_892_3_1_-1195",9998,"Empty","EMPTY",NA,NA,NA,892,51.5,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","51-55",1
"62114089_892_3_1_-1196_1496","62114089_892_3_1_-1196",6000,"Crustacea","CRUSTACEAN",81,0.418,NA,892,53.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda",NA,"EAZ","Greenland halibut","500-750 m","51-55",1
"62114089_892_3_1_-1197_1491","62114089_892_3_1_-1197",9998,"Empty","EMPTY",NA,NA,NA,892,47.2,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","46-50",1
"62114089_892_3_1_-1198_1489","62114089_892_3_1_-1198",9998,"Empty","EMPTY",NA,NA,NA,892,48.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","46-50",1
"62114089_892_3_1_-1199_1490","62114089_892_3_1_-1199",9998,"Empty","EMPTY",NA,NA,NA,892,48.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","46-50",1
"62114089_892_3_1_-1200_1488","62114089_892_3_1_-1200",4769,"Gonatus","SQUID",NA,17.137,1,892,43.8,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Mollusca","Oegopsida","EAZ","Greenland halibut","500-750 m","41-45",1
"62114089_892_3_1_-1201_1484","62114089_892_3_1_-1201",8020,"","SHRIMP/SHRIMP SAMPLE",81,5.606,NA,892,42.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","41-45",1
"62114089_892_3_1_-1202_1487","62114089_892_3_1_-1202",9998,"Empty","EMPTY",NA,NA,NA,892,42.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","41-45",1
"62114089_892_3_1_-1203_1483","62114089_892_3_1_-1203",8020,"","SHRIMP/SHRIMP SAMPLE",81,4.495,NA,892,36.5,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","36-40",1
"62114089_892_3_1_-1204_1482","62114089_892_3_1_-1204",9998,"Empty","EMPTY",NA,NA,NA,892,40.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","36-40",1
"62114089_892_3_1_-1205_1481","62114089_892_3_1_-1205",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,1.607,NA,892,39.4,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","36-40",1
"62114089_892_3_1_-1206_1479","62114089_892_3_1_-1206",9998,"Empty","EMPTY",NA,NA,NA,892,35.7,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","31-35",1
"62114089_892_3_1_-1207_1475","62114089_892_3_1_-1207",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,0.183,NA,892,31.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","31-35",1
"62114089_892_3_1_-1208_1480","62114089_892_3_1_-1208",9998,"Empty","EMPTY",NA,NA,NA,892,33.5,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","31-35",1
"62114089_892_3_1_-1209_1469","62114089_892_3_1_-1209",6967,"Themisto","HYPERID AMPHIPOD",81,0.09,NA,892,22.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Amphipoda","EAZ","Greenland halibut","500-750 m","21-25",1
"62114089_892_3_1_-1210_1474","62114089_892_3_1_-1210",9998,"Empty","EMPTY",NA,NA,NA,892,24,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","21-25",1
"62114089_892_3_1_-1211_1471","62114089_892_3_1_-1211",6930,"Amphipoda","AMPHIPOD",81,0.215,NA,892,24.8,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Amphipoda","EAZ","Greenland halibut","500-750 m","21-25",1
"62114089_892_3_1_-1212_1473","62114089_892_3_1_-1212",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,0.689,NA,892,19.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","16-20",1
"62114089_892_3_1_-1213_1472","62114089_892_3_1_-1213",6930,"Amphipoda","AMPHIPOD",NA,0.847,1,892,20.4,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Amphipoda","EAZ","Greenland halibut","500-750 m","16-20",1
"62114090_794_3_1_-1242_105","62114090_794_3_1_-1242",6000,"Crustacea","CRUSTACEAN",81,0.008,NA,794,13.5,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda",NA,"EAZ","Redfish","400-500 m","11-15",1
"62114090_794_3_1_-1243_106","62114090_794_3_1_-1243",7933,"Boreomysis","MYSID",NA,0.64,2,794,24.4,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Mysida","EAZ","Redfish","400-500 m","21-25",1
"62114090_892_3_1_-1214_1381","62114090_892_3_1_-1214",9998,"Empty","EMPTY",NA,NA,NA,892,12.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","11-15",1
"62114090_892_3_1_-1215_1384","62114090_892_3_1_-1215",6967,"Themisto","HYPERID AMPHIPOD",81,0.277,NA,892,12.4,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Amphipoda","EAZ","Greenland halibut","400-500 m","11-15",1
"62114090_892_3_1_-1216_1382","62114090_892_3_1_-1216",9998,"Empty","EMPTY",NA,NA,NA,892,14.1,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","11-15",1
"62114090_892_3_1_-1217_1383","62114090_892_3_1_-1217",4950,"Polychaeta","POLYCHAETE",81,0.039,NA,892,20.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Annelida",NA,"EAZ","Greenland halibut","400-500 m","16-20",1
"62114090_892_3_1_-1218_1386","62114090_892_3_1_-1218",9998,"Empty","EMPTY",NA,NA,NA,892,25.3,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","21-25",1
"62114090_892_3_1_-1219_1394","62114090_892_3_1_-1219",7933,"Boreomysis","MYSID",NA,0.25,1,892,25.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Mysida","EAZ","Greenland halibut","400-500 m","21-25",1
"62114090_892_3_1_-1220_1385","62114090_892_3_1_-1220",9998,"Empty","EMPTY",NA,NA,NA,892,25.4,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","21-25",1
"62114090_892_3_1_-1221_1388","62114090_892_3_1_-1221",8020,"","SHRIMP/SHRIMP SAMPLE",81,0.818,NA,892,30.9,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Decapoda","EAZ","Greenland halibut","400-500 m","26-30",1
"62114090_892_3_1_-1222_1391","62114090_892_3_1_-1222",6967,"Themisto","HYPERID AMPHIPOD",81,0.067,NA,892,30.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Amphipoda","EAZ","Greenland halibut","400-500 m","26-30",1
"62114090_892_3_1_-1223_1387","62114090_892_3_1_-1223",8020,"","SHRIMP/SHRIMP SAMPLE",81,0.998,NA,892,29.6,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Decapoda","EAZ","Greenland halibut","400-500 m","26-30",1
"62114090_892_3_1_-1224_1389","62114090_892_3_1_-1224",9998,"Empty","EMPTY",NA,NA,NA,892,31.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","31-35",1
"62114090_892_3_1_-1225_1390","62114090_892_3_1_-1225",8020,"","SHRIMP/SHRIMP SAMPLE",81,1.833,NA,892,31.3,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Decapoda","EAZ","Greenland halibut","400-500 m","31-35",1
"62114090_892_3_1_-1226_1429","62114090_892_3_1_-1226",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,2.381,NA,892,32.3,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Pisces",NA,"EAZ","Greenland halibut","400-500 m","31-35",1
"62114090_892_3_1_-1227_1434","62114090_892_3_1_-1227",6000,"Crustacea","CRUSTACEAN",81,0.005,NA,892,40.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda",NA,"EAZ","Greenland halibut","400-500 m","36-40",1
"62114090_892_3_1_-1228_1444","62114090_892_3_1_-1228",9998,"Empty","EMPTY",NA,NA,NA,892,36.3,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","36-40",1
"62114090_892_3_1_-1229_1446","62114090_892_3_1_-1229",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,1.503,NA,892,39.9,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","36-40",1
"62114090_892_3_1_-1230_1445","62114090_892_3_1_-1230",9998,"Empty","EMPTY",NA,NA,NA,892,44.8,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","41-45",1
"62114090_892_3_1_-1231_1432","62114090_892_3_1_-1231",7935,"Boreomysis (Boreomysis) arctica","MYSID",NA,0.733,1,892,45,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Mysida","EAZ","Greenland halibut","400-500 m","41-45",1
"62114090_892_3_1_-1232_1433","62114090_892_3_1_-1232",9998,"Empty","EMPTY",NA,NA,NA,892,44.3,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","41-45",1
"62114090_892_3_1_-1233_1438","62114090_892_3_1_-1233",6000,"Crustacea","CRUSTACEAN",81,0.01,NA,892,47.1,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda",NA,"EAZ","Greenland halibut","400-500 m","46-50",1
"62114090_892_3_1_-1234_1457","62114090_892_3_1_-1234",7935,"Boreomysis (Boreomysis) arctica","MYSID",NA,0.765,1,892,50.6,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Mysida","EAZ","Greenland halibut","400-500 m","46-50",1
"62114090_892_3_1_-1235_1448","62114090_892_3_1_-1235",7935,"Boreomysis (Boreomysis) arctica","MYSID",NA,1.02,1,892,48,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Mysida","EAZ","Greenland halibut","400-500 m","46-50",1
"62114090_892_3_1_-1236_1451","62114090_892_3_1_-1236",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,10.641,NA,892,52.2,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Pisces",NA,"EAZ","Greenland halibut","400-500 m","51-55",1
"62114090_892_3_1_-1237_1450","62114090_892_3_1_-1237",8020,"","SHRIMP/SHRIMP SAMPLE",NA,8.03,1,892,52.6,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Decapoda","EAZ","Greenland halibut","400-500 m","51-55",1
"62114090_892_3_1_-1238_1462","62114090_892_3_1_-1238",9998,"Empty","EMPTY",NA,NA,NA,892,59.4,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,NA,NA,"EAZ","Greenland halibut","400-500 m","56-60",1
"62114090_892_3_1_-1239_1455","62114090_892_3_1_-1239",8112,"Pandalus montagui","SHRIMP",NA,7.054,1,892,58.3,2019,62114090,"RISA",421,427,60,42.277,65,30.9406,"Arthropoda","Decapoda","EAZ","Greenland halibut","400-500 m","56-60",1
