"","ContentKey","Prey_OS_ID","PreyWt","Prey_Count","OS_ID","Length","Trawl_ID","Year","Start.Depth","End.Depth","Study.Area","Scientific.Name","CommonName","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","FishKey","region","pred.name","depth","length.range"
"34","62114013_892_3_1_-42_1693",8020,7.787,1,892,34,62114013,2019,182,184,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,33.3829,62,5.1611,"62114013_892_3_1_-42","SFA4","Greenland halibut","100-200 m","31-35"
"35","62114014_892_3_1_-63_380",8112,1.545,1,892,19,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-63","SFA4","Greenland halibut","100-200 m","16-20"
"36","62114014_892_3_1_-63_381",8020,1.475,NA,892,19,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-63","SFA4","Greenland halibut","100-200 m","16-20"
"37","62114014_892_3_1_-64_382",9998,NA,NA,892,18,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-64","SFA4","Greenland halibut","100-200 m","16-20"
"38","62114014_892_3_1_-65_383",9998,NA,NA,892,22,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-65","SFA4","Greenland halibut","100-200 m","21-25"
"39","62114014_892_3_1_-66_385",9998,NA,NA,892,22.5,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-66","SFA4","Greenland halibut","100-200 m","21-25"
"40","62114014_892_3_1_-67_386",9998,NA,NA,892,27.9,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-67","SFA4","Greenland halibut","100-200 m","26-30"
"41","62114014_892_3_1_-68_392",999,3.25,1,892,30.3,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-68","SFA4","Greenland halibut","100-200 m","26-30"
"42","62114014_892_3_1_-69_389",8138,6.553,1,892,33.2,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-69","SFA4","Greenland halibut","100-200 m","31-35"
"43","62114014_892_3_1_-69_390",999,0,NA,892,33.2,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-69","SFA4","Greenland halibut","100-200 m","31-35"
"44","62114014_892_3_1_-69_391",999,0,NA,892,33.2,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-69","SFA4","Greenland halibut","100-200 m","31-35"
"45","62114014_892_3_1_-70_384",9998,NA,NA,892,24,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-70","SFA4","Greenland halibut","100-200 m","21-25"
"46","62114014_892_3_1_-71_387",6930,0.285,NA,892,12.7,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-71","SFA4","Greenland halibut","100-200 m","11-15"
"47","62114014_892_3_1_-71_388",4950,0.628,NA,892,12.7,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-71","SFA4","Greenland halibut","100-200 m","11-15"
"48","62114087_892_3_1_-1136_411",451,13.925,1,892,36.2,62114087,2019,225,225,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,32.3094,65,57.3264,"62114087_892_3_1_-1136","EAZ","Greenland halibut","200-300 m","36-40"
"49","62114087_892_3_1_-1139_402",7967,0.122,1,892,15.2,62114087,2019,225,225,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,32.3094,65,57.3264,"62114087_892_3_1_-1139","EAZ","Greenland halibut","200-300 m","11-15"
"50","62114087_892_3_1_-1140_400",9998,NA,NA,892,13.8,62114087,2019,225,225,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,32.3094,65,57.3264,"62114087_892_3_1_-1140","EAZ","Greenland halibut","200-300 m","11-15"
"51","62114087_892_3_1_-1141_401",6967,0.038,1,892,12.2,62114087,2019,225,225,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,32.3094,65,57.3264,"62114087_892_3_1_-1141","EAZ","Greenland halibut","200-300 m","11-15"
"52","62114087_90_3_1_-1137_403",8085,2.623,1,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
"53","62114087_90_3_1_-1137_404",8085,6.59,2,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
"54","62114087_90_3_1_-1137_405",8020,12.265,NA,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
"55","62114087_90_3_1_-1137_406",999,3.084,NA,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
"56","62114087_90_3_1_-1137_407",999,0,NA,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
