"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range"
"62114014_892_3_1_-70_384","62114014_892_3_1_-70",9998,"Empty","EMPTY",NA,NA,NA,892,24,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","21-25"
"62114014_892_3_1_-71_387","62114014_892_3_1_-71",6930,"Amphipoda","AMPHIPOD",81,0.285,NA,892,12.7,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Amphipoda","SFA4","Greenland halibut","100-200 m","11-15"
"62114014_892_3_1_-71_388","62114014_892_3_1_-71",4950,"Polychaeta","POLYCHAETE",81,0.628,NA,892,12.7,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Annelida",NA,"SFA4","Greenland halibut","100-200 m","11-15"
"62114087_892_3_1_-1136_411","62114087_892_3_1_-1136",451,"Boreogadus saida","ARCTIC COD",88,13.925,1,892,36.2,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Chordata","Gadiformes","EAZ","Greenland halibut","200-300 m","36-40"
"62114087_892_3_1_-1139_402","62114087_892_3_1_-1139",7967,"Mysis","MYSID",NA,0.122,1,892,15.2,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Mysida","EAZ","Greenland halibut","200-300 m","11-15"
"62114087_892_3_1_-1140_400","62114087_892_3_1_-1140",9998,"Empty","EMPTY",NA,NA,NA,892,13.8,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,NA,NA,"EAZ","Greenland halibut","200-300 m","11-15"
"62114087_892_3_1_-1141_401","62114087_892_3_1_-1141",6967,"Themisto","HYPERID AMPHIPOD",NA,0.038,1,892,12.2,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Amphipoda","EAZ","Greenland halibut","200-300 m","11-15"
"62114087_90_3_1_-1137_403","62114087_90_3_1_-1137",8085,"Spirontocaris spinus","SHRIMP",NA,2.623,1,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Decapoda","EAZ","Skate","200-300 m","41-45"
"62114087_90_3_1_-1137_404","62114087_90_3_1_-1137",8085,"Spirontocaris spinus","SHRIMP",NA,6.59,2,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Decapoda","EAZ","Skate","200-300 m","41-45"
"62114087_90_3_1_-1137_405","62114087_90_3_1_-1137",8020,"","SHRIMP/SHRIMP SAMPLE",81,12.265,NA,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Decapoda","EAZ","Skate","200-300 m","41-45"
"62114087_90_3_1_-1137_406","62114087_90_3_1_-1137",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,3.084,NA,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Pisces",NA,"EAZ","Skate","200-300 m","41-45"
"62114087_90_3_1_-1137_407","62114087_90_3_1_-1137",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Pisces",NA,"EAZ","Skate","200-300 m","41-45"
"62114087_90_3_1_-1137_408","62114087_90_3_1_-1137",10560,"Mysida","MYSID",81,0.442,NA,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda","Mysida","EAZ","Skate","200-300 m","41-45"
"62114087_90_3_1_-1137_409","62114087_90_3_1_-1137",6000,"Crustacea","CRUSTACEAN",81,11.02,NA,90,45.5,2019,62114087,"RISA",225,225,60,32.3094,65,57.3264,"Arthropoda",NA,"EAZ","Skate","200-300 m","41-45"
"62114089_89_3_1_-1169_1789","62114089_89_3_1_-1169",8020,"","SHRIMP/SHRIMP SAMPLE",81,9.855,NA,89,28,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Skate","500-750 m","26-30"
"62114089_89_3_1_-1170_1792","62114089_89_3_1_-1170",8020,"","SHRIMP/SHRIMP SAMPLE",81,7.128,NA,89,36.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Skate","500-750 m","36-40"
"62114089_89_3_1_-1171_1791","62114089_89_3_1_-1171",9998,"Empty","EMPTY",NA,NA,NA,89,45.2,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Skate","500-750 m","41-45"
"62114089_89_3_1_-1172_1790","62114089_89_3_1_-1172",9998,"Empty","EMPTY",NA,NA,NA,89,53.7,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Skate","500-750 m","51-55"
